orth,pron,pattern,nphon,v_lec,v_lec_freq,v_lec_nh,v_lec_nh_freq,v_psum,v_pskew,v_pkurt,v_psd,v_pfwsum,v_psum_nh,v_pskew_nh,v_pkurt_nh,v_psd_nh,v_pfwsum_nh,a_denb,a_denb_freq,a_denb_nh,a_denb_nh_freq,a_dena,a_dena_freq,a_dena_nh,a_dena_nh_freq,a_dena_hfn,a_dena_hfn_nh,a_denb_hfn,a_denb_hfn_nh,a_psum,a_pskew,a_pkurt,a_psd,a_pfwsum,a_psum_nh,a_pskew_nh,a_pkurt_nh,a_psd_nh,a_pfwsum_nh,a_wt_psum,a_wt_pskew,a_wt_pkurt,a_wt_psd,a_wt_pfwsum,a_wt_psum_nh,a_wt_pskew_nh,a_wt_pkurt_nh,a_wt_psd_nh,a_wt_pfwsum_nh
less,lɛs,CVC,3,47,9.5113,40,9.8653,41.0045,5.9810,45.4049,0.0643,365.7464,35.8172,5.9494,44.3944,0.0658,326.7882,24,8.6958,22,8.7095,18,8.6350,18,8.6350,2,2,2,2,50.6213,8.1382,104.4247,0.0159,412.2907,45.2288,8.2362,106.2056,0.0161,373.0036,23.7846,5.5074,45.5625,0.0241,205.9422,21.4423,5.3587,42.4093,0.0253,188.4565
let,lɛt,CVC,3,47,9.5055,40,9.8585,45.6656,5.7089,41.8468,0.0707,411.0980,39.6478,5.7461,41.8945,0.0722,365.7954,30,9.5463,26,9.9685,23,9.8013,21,9.8013,3,3,3,3,51.7176,8.5732,112.5595,0.0174,426.3178,45.7744,8.2351,105.3336,0.0170,382.4605,26.1498,5.4798,42.3461,0.0289,229.6475,23.1829,5.2229,38.4540,0.0291,208.0650
lurch,lɝt∫,CVC,3,0,,0,,7.1019,10.2887,132.9763,0.0162,56.6224,6.4082,10.1365,131.0524,0.0164,51.4366,10,8.1360,9,8.2667,9,8.4533,8,8.4533,9,8,9,8,27.7203,10.5350,191.0903,0.0095,220.8480,24.7386,10.8489,201.0223,0.0096,199.4967,14.7124,5.7724,50.9650,0.0156,123.4524,13.0682,5.8524,52.5692,0.0158,111.6147
lurk,lɝk,CVC,3,10,8.6910,10,8.6910,15.9700,10.4511,146.2490,0.0328,138.8599,14.6490,9.9770,131.3607,0.0348,129.0038,23,8.5622,22,8.7105,19,9.0853,18,9.0853,14,14,15,15,44.3005,9.2292,129.0063,0.0159,355.2619,39.8139,9.3412,129.4209,0.0163,323.1616,22.0945,6.0621,53.1504,0.0252,188.5468,19.8503,5.9896,50.7947,0.0263,172.6889
learn,lɝn,CVC,3,10,8.3250,10,8.3250,19.0366,8.3507,103.0906,0.0314,160.4837,17.1345,8.1759,96.5775,0.0330,146.1368,22,8.0750,18,8.3028,18,8.0378,15,8.0378,2,2,2,2,42.7497,9.9308,142.6191,0.0157,344.4650,36.9604,10.0812,151.9758,0.0150,301.9015,20.5426,6.3159,52.2973,0.0253,173.8290,17.4039,6.2436,52.8699,0.0240,150.2282
lid,lɪd,CVC,3,25,8.9676,23,9.1778,38.0531,6.6240,60.1459,0.0610,334.1414,33.2057,6.6326,59.5448,0.0627,298.5515,30,8.9300,29,9.0172,24,8.9633,23,8.9633,17,17,21,21,50.3260,9.9431,152.3023,0.0177,407.4980,45.0310,10.0063,152.0638,0.0181,368.9567,24.6908,5.8358,46.9265,0.0278,212.5412,21.9481,5.7841,45.7538,0.0288,192.3758
lied,laɪd,CVC,3,47,9.5872,40,9.9545,42.1500,5.8337,45.2248,0.0658,376.3536,35.5921,6.1629,50.6119,0.0648,325.2153,48,8.2392,39,8.5905,39,8.3282,32,8.3282,18,18,21,21,43.3539,9.6748,128.7194,0.0187,345.2911,37.0616,10.0680,140.9958,0.0179,298.4285,21.2207,6.4682,55.1928,0.0299,176.1533,18.1111,6.6197,58.1571,0.0293,151.9719
lithe,laɪð,CVC,3,3,6.0433,3,6.0433,9.7697,13.5796,235.3213,0.0229,78.1388,8.6947,13.4206,226.0589,0.0239,70.1366,19,8.0689,17,8.3300,16,8.2444,15,8.2444,15,14,17,15,45.0528,11.9099,216.9536,0.0190,361.2665,38.5702,12.4736,240.8326,0.0183,313.4987,22.0947,7.9354,93.5773,0.0304,183.3194,19.0209,8.2067,98.5523,0.0308,159.9929
life,laɪf,CVC,3,18,8.5244,16,8.7813,10.5380,12.7710,222.2751,0.0313,90.6232,9.8627,12.0181,195.6240,0.0334,85.1197,21,8.4243,19,8.6953,18,8.4978,17,8.4978,2,2,2,2,46.6368,12.0978,214.2452,0.0199,380.9120,40.8000,12.4736,228.5652,0.0196,336.6001,22.8443,8.1603,91.7112,0.0323,195.0849,20.1389,8.2826,92.3629,0.0333,173.8742
lick,lɪk,CVC,3,23,8.4774,19,8.6621,30.3912,7.3565,74.0623,0.0537,263.5304,26.2949,7.0964,69.9673,0.0525,234.4983,35,9.0094,32,9.2172,30,9.0273,27,9.0273,19,18,22,21,50.4496,10.2634,161.8611,0.0196,410.5451,45.9466,10.1940,157.4630,0.0202,377.9063,24.9594,7.1064,71.0818,0.0327,215.3304,22.5845,6.9811,67.4150,0.0342,198.2626
like,laɪk,CVC,3,43,8.5105,38,8.6721,30.3128,5.8721,44.5569,0.0474,261.4194,26.7970,5.8474,43.7568,0.0487,235.5163,33,8.6206,30,8.9160,28,8.6339,26,8.6339,0,0,0,0,39.2018,12.1443,223.3092,0.0175,320.8131,34.6572,12.5467,235.9095,0.0175,286.3938,19.4872,8.2612,98.6352,0.0289,167.6884,17.2418,8.3063,97.1560,0.0300,150.2845
lisle,laɪl,CVC,3,42,8.7305,38,8.8379,34.9277,6.0702,57.3751,0.0494,305.1103,30.4896,6.2102,58.6293,0.0507,270.2864,29,8.4193,25,8.6948,23,8.4000,22,8.4000,20,19,26,22,38.8791,13.1055,241.7650,0.0175,314.1948,32.7159,13.2154,252.2197,0.0163,268.8183,18.4065,8.2860,89.4062,0.0271,152.6309,15.7735,8.1113,86.0395,0.0274,132.9610
Lyle,laɪl,CVC,3,42,8.7305,38,8.8379,34.9277,6.0702,57.3751,0.0494,305.1103,30.4896,6.2102,58.6293,0.0507,270.2864,29,8.4193,25,8.6948,23,8.4000,22,8.4000,12,12,16,15,38.8791,13.1055,241.7650,0.0175,314.1948,32.7159,13.2154,252.2197,0.0163,268.8183,18.4065,8.2860,89.4062,0.0271,152.6309,15.7735,8.1113,86.0395,0.0274,132.9610
limb,lɪm,CVC,3,10,8.5800,9,8.6733,16.4245,9.6491,123.5233,0.0465,136.6861,15.2477,9.3858,115.1487,0.0489,128.5723,26,8.2542,24,8.2792,22,8.4318,20,8.4318,16,14,17,15,41.7425,11.6572,205.9970,0.0171,334.1591,37.4031,11.7959,206.9149,0.0175,302.5034,19.5387,7.7671,88.5948,0.0266,167.7912,17.2252,7.7986,87.5932,0.0275,150.7565
lime,laɪm,CVC,3,21,8.2905,21,8.2905,15.9126,7.2561,64.9379,0.0403,134.4883,14.7724,7.0507,61.4000,0.0418,126.3391,29,8.3962,24,8.9575,23,8.4222,20,8.4222,12,12,15,15,32.8261,13.0239,257.9082,0.0150,265.1948,28.1328,13.4627,289.3353,0.0141,231.5502,15.7921,9.2059,122.7315,0.0245,133.6207,13.3463,9.4255,133.3973,0.0236,115.5718
Lynn,lɪn,CVC,3,23,8.4309,19,8.6058,35.9138,5.4329,40.8352,0.0538,310.9616,31.2250,5.5068,41.9823,0.0546,276.0246,38,8.7908,34,8.8729,32,8.6209,29,8.6209,9,9,11,11,48.2432,9.0938,122.6464,0.0184,391.5023,42.8495,9.2742,128.5859,0.0184,351.4945,22.8514,6.2095,53.9720,0.0300,197.1260,19.9334,6.3096,55.8612,0.0305,175.4118
line,laɪn,CVC,3,43,8.5449,38,8.7111,37.6263,6.1281,54.5929,0.0553,326.6491,32.1846,5.9114,51.9175,0.0535,285.8659,39,8.5769,33,8.8339,34,8.5803,29,8.5803,1,1,1,1,38.3600,11.6210,198.5382,0.0169,310.6525,32.9282,12.2850,224.0555,0.0163,270.5404,18.5793,7.6283,80.2133,0.0283,156.3755,15.6536,7.9578,88.1180,0.0277,134.2763
lip,lɪp,CVC,3,10,8.5350,9,8.6233,17.6242,10.1510,132.1710,0.0488,145.8018,16.4574,9.7453,120.1701,0.0516,137.6570,33,8.2070,33,8.2070,26,8.1246,26,8.1246,16,16,21,21,50.2465,9.8974,150.2600,0.0192,405.9916,45.9765,9.7443,143.2919,0.0199,374.9719,24.5830,6.8782,69.4528,0.0308,209.4649,22.5327,6.6120,63.2331,0.0326,194.4418
leer,lɪr,CVC,3,10,10.7740,9,10.7033,20.7447,8.8612,107.3989,0.0387,184.2422,17.8242,9.2834,118.2136,0.0385,161.1366,39,8.5913,32,8.8231,36,8.6161,29,8.6161,30,26,32,28,46.6386,10.5850,169.7520,0.0175,380.4943,39.8478,11.1459,186.2364,0.0171,328.7249,22.6582,7.1136,69.5907,0.0297,196.7241,19.0899,7.3958,74.7968,0.0294,168.7501
lyre,laɪr,CVC,3,18,8.7933,16,9.0838,20.0424,7.3637,80.3353,0.0305,176.0412,17.6207,7.3670,77.8982,0.0318,156.1449,27,8.3500,25,8.5500,24,8.4529,23,8.4529,15,15,16,16,37.8293,12.9132,249.2941,0.0165,306.2260,31.6042,12.2981,233.2934,0.0152,260.0192,17.8403,8.5584,103.5137,0.0262,149.3051,14.9590,7.8590,88.4334,0.0251,127.6526
lice,laɪs,CVC,3,47,9.6387,40,10.0150,37.5529,6.4351,54.9935,0.0616,336.7732,31.9892,6.7719,60.2145,0.0616,293.2361,31,9.0687,28,9.3211,24,9.1317,22,9.1317,21,20,28,26,39.7610,11.2970,185.9275,0.0167,329.3340,34.8357,11.6924,200.6856,0.0164,291.8392,19.6337,7.6032,78.4546,0.0276,170.8519,17.2280,7.7643,80.7784,0.0282,151.8097
lit,lɪt,CVC,3,25,8.9428,23,9.1509,37.4326,6.8135,63.4948,0.0617,328.5345,32.7325,6.8245,62.4249,0.0638,293.8199,34,8.8491,33,8.9397,26,8.9138,25,8.9138,12,12,15,15,51.4373,9.3051,135.6584,0.0186,423.3064,46.3296,9.3170,135.2109,0.0189,385.5487,26.1815,6.3471,57.8247,0.0311,227.4129,23.4704,6.2570,55.9286,0.0321,207.4440
light,laɪt,CVC,3,47,9.5217,40,9.8775,42.0180,6.1067,49.5621,0.0683,374.4047,35.3344,6.3911,54.2394,0.0669,321.7548,44,9.3025,33,9.7264,34,9.5097,25,9.5097,11,10,11,10,42.9363,11.3344,171.8771,0.0203,359.1257,36.7656,11.7094,190.3181,0.0189,309.9585,21.6570,7.6803,75.4628,0.0330,191.7386,18.3213,7.8913,83.9043,0.0308,164.2652
live,lɪv,CVC,3,10,10.2860,9,10.1611,13.1658,12.0803,195.9391,0.0341,115.4546,11.9589,11.6800,180.0138,0.0361,105.9730,14,9.1186,14,9.1186,12,8.9258,12,8.9258,2,2,2,2,51.8243,10.2201,183.3260,0.0163,418.2874,46.0322,10.3993,184.8522,0.0167,375.9623,24.9869,7.0573,82.1024,0.0263,211.0577,22.1507,6.9479,77.8119,0.0276,190.2883
Liz,lɪz,CVC,3,25,8.9572,23,9.1665,36.4735,6.7819,62.5957,0.0601,318.8327,31.7699,6.8563,62.5665,0.0620,284.0989,23,8.6370,22,8.8641,19,8.3500,18,8.3500,9,9,11,11,49.8358,10.1813,181.1743,0.0160,402.2487,43.9859,10.4761,186.9092,0.0163,359.6940,25.0475,7.0701,77.1438,0.0275,211.9869,21.9244,7.0695,75.2982,0.0285,189.1749
lies,laɪz,CVC,3,47,9.5549,40,9.9165,40.7917,6.1094,49.5366,0.0663,361.9807,34.2958,6.4981,56.2386,0.0651,311.3186,40,8.2098,32,8.7944,34,8.1476,28,8.1476,8,8,11,11,43.1290,11.5311,193.9233,0.0191,344.6950,36.4442,12.3735,229.4630,0.0181,295.3039,22.1438,7.3942,76.7622,0.0322,181.3852,18.6287,7.8195,86.5691,0.0316,154.4880
lobe,lob,CVC,3,8,8.0350,8,8.0350,10.9299,14.4927,248.8039,0.0438,83.3908,10.4788,13.5873,217.7657,0.0469,80.0765,17,7.6306,14,7.4457,13,7.2015,11,7.2015,10,8,13,10,41.6200,11.6528,205.8138,0.0161,327.3705,35.8651,11.6075,208.5406,0.0152,286.0529,19.6464,8.5470,101.5767,0.0254,161.4082,16.8114,8.2614,97.1698,0.0243,140.9050
load,lod,CVC,3,14,9.0150,12,9.3025,24.8847,7.8935,81.3928,0.0502,212.3779,21.2824,8.1935,88.3189,0.0496,184.9957,42,7.7695,35,7.8457,32,7.7516,27,7.7516,4,4,5,5,51.8609,9.7724,132.9742,0.0203,408.5482,44.6763,10.1114,143.7103,0.0197,356.1423,25.1303,6.7672,59.2735,0.0326,206.6536,21.6236,6.8226,60.5318,0.0324,180.8560
lode,lod,CVC,3,14,9.0150,12,9.3025,24.8847,7.8935,81.3928,0.0502,212.3779,21.2824,8.1935,88.3189,0.0496,184.9957,42,7.7695,35,7.8457,32,7.7516,27,7.7516,22,20,30,26,51.8609,9.7724,132.9742,0.0203,408.5482,44.6763,10.1114,143.7103,0.0197,356.1423,25.1303,6.7672,59.2735,0.0326,206.6536,21.6236,6.8226,60.5318,0.0324,180.8560
loathe,loð,CVC,3,1,5.4200,1,5.4200,6.1443,31.0539,1126.9014,0.0246,48.3520,5.3349,30.3973,1049.2281,0.0259,42.0807,16,7.1513,13,6.8415,12,6.7592,10,6.7592,5,4,7,5,55.6491,10.5136,165.0543,0.0212,439.3357,47.3009,10.9313,183.1747,0.0200,378.4818,26.6730,7.4839,79.2185,0.0329,217.7707,22.5607,7.7206,85.6988,0.0322,187.9002
Lloyd,loɪd,CVC,3,15,8.9500,12,9.4392,19.6814,6.9554,68.6328,0.0325,167.4267,17.1696,7.0210,71.5853,0.0324,149.1046,15,8.2520,14,8.3843,13,8.4315,12,8.4315,6,6,6,6,45.3081,10.6315,176.5879,0.0158,359.7083,39.5588,10.2463,162.8351,0.0154,318.2014,22.2829,7.1889,74.1692,0.0255,186.4301,19.2748,6.6523,63.7207,0.0248,164.4701
loin,loɪn,CVC,3,16,8.5119,12,8.5833,17.3571,6.8881,63.2503,0.0284,148.4451,15.1888,6.7692,61.0810,0.0284,132.1911,14,8.9900,12,9.1550,13,9.1738,11,9.1738,13,11,14,12,41.8153,11.4541,203.5653,0.0154,339.3747,36.1350,11.1027,196.1112,0.0145,297.2529,20.2766,7.5630,79.4200,0.0261,173.8032,17.0421,7.2832,76.0204,0.0243,149.6322
loaf,lof,CVC,3,2,8.2100,2,8.2100,4.5242,24.2250,721.8019,0.0177,38.1866,4.1603,22.9069,639.4469,0.0189,35.2412,17,7.5335,14,7.3279,13,7.6654,11,7.6654,6,5,8,6,55.8511,14.6104,384.0157,0.0209,443.2891,49.0147,15.3436,423.3747,0.0206,393.3434,26.6461,11.6932,218.0529,0.0331,220.8982,23.5794,11.7178,212.1702,0.0344,198.7053
loam,lom,CVC,3,8,8.2388,8,8.2388,10.3860,14.1030,232.8011,0.0442,80.4063,10.0123,13.2319,204.0135,0.0473,77.6906,26,7.9188,22,7.8823,23,7.6752,20,7.6752,22,19,25,21,40.5425,12.4101,240.2023,0.0168,324.9349,34.6811,11.5125,217.7877,0.0155,281.7121,19.6665,8.6713,102.9727,0.0290,165.6996,16.4190,8.1614,97.3254,0.0264,141.6482
loan,lon,CVC,3,15,8.3053,12,8.3467,21.9207,7.3071,74.3702,0.0420,185.5362,18.6446,7.8031,85.2023,0.0414,161.5975,40,8.2688,35,8.4354,30,7.9833,26,7.9833,11,11,15,14,47.6557,10.0876,145.6890,0.0193,383.6257,40.9622,10.6380,160.6388,0.0189,334.8491,22.5434,6.8471,65.4816,0.0304,188.8277,19.0113,7.1563,71.3701,0.0300,163.4765
lone,lon,CVC,3,15,8.3053,12,8.3467,21.9207,7.3071,74.3702,0.0420,185.5362,18.6446,7.8031,85.2023,0.0414,161.5975,40,8.2688,35,8.4354,30,7.9833,26,7.9833,11,11,15,14,47.6557,10.0876,145.6890,0.0193,383.6257,40.9622,10.6380,160.6388,0.0189,334.8491,22.5434,6.8471,65.4816,0.0304,188.8277,19.0113,7.1563,71.3701,0.0300,163.4765
lope,lop,CVC,3,8,8.2550,8,8.2550,10.9694,14.2271,237.8154,0.0444,85.5995,10.5370,13.3294,207.9237,0.0475,82.4247,27,7.9237,24,7.8525,23,7.8683,21,7.8683,23,21,26,23,46.6823,13.4405,316.6378,0.0181,370.4431,41.4372,13.8927,333.9577,0.0182,332.4993,22.6098,10.1703,161.0539,0.0297,189.4045,20.2471,10.0593,153.6999,0.0311,172.3622
lows,loz,CVC,3,15,9.0860,12,9.6092,24.9545,8.5119,92.6577,0.0534,215.3539,20.6496,8.2960,91.3369,0.0489,183.1012,45,8.1047,36,8.3417,32,8.1406,26,8.1406,22,19,31,26,53.7618,9.9997,143.5715,0.0215,426.6835,44.9168,10.6831,174.1693,0.0197,362.5596,26.6866,6.8629,66.1391,0.0340,218.7645,22.0609,7.2904,78.4894,0.0321,185.1894
loath,loθ,CVC,3,1,6.6600,1,6.6600,6.8912,28.9953,1018.3839,0.0252,55.9081,5.9480,28.7877,968.7184,0.0264,48.6099,15,7.8160,12,7.6467,12,7.2817,10,7.2817,9,7,12,9,56.7494,13.8854,354.1612,0.0208,454.6556,49.6491,14.6329,395.9618,0.0205,402.7409,27.3122,10.9186,197.3865,0.0330,229.0697,24.0752,11.0627,196.2493,0.0342,205.6445
laud,lɔd,CVC,3,27,8.3381,25,8.5048,36.4430,6.9874,61.6245,0.0650,308.2875,32.4264,6.8889,60.9844,0.0656,279.7821,27,8.3444,25,8.5060,20,8.4375,19,8.4375,18,17,25,23,47.4395,9.1693,121.1910,0.0173,373.6789,41.9805,9.1515,121.0683,0.0173,334.6618,22.7487,6.3328,53.7340,0.0277,189.7572,20.1922,6.1433,50.5750,0.0286,171.2842
log,lɔg,CVC,3,37,8.2224,34,8.3274,28.0637,7.9726,89.2512,0.0543,240.4140,25.5722,7.7906,83.8998,0.0570,222.0362,15,9.1253,15,9.1253,12,9.0158,12,9.0158,5,5,6,6,42.6811,10.8368,182.1609,0.0152,334.5502,38.2493,10.8615,178.6073,0.0157,302.8066,20.2628,7.2418,78.5699,0.0235,166.7841,18.1810,6.9994,72.0813,0.0248,151.8942
lawn,lɔn,CVC,3,37,8.2792,34,8.3891,33.5093,5.7458,42.8010,0.0551,284.2234,29.9392,5.7413,42.2533,0.0569,257.9381,27,8.7511,23,9.0161,24,8.7121,20,8.7121,16,14,18,16,43.0000,12.4174,268.0540,0.0170,347.7630,37.9048,12.8094,283.7909,0.0171,310.4379,20.6309,8.4173,114.8263,0.0289,177.4437,17.8514,8.6681,121.0901,0.0293,157.1019
long,lɔŋ,CVC,3,37,8.1541,34,8.2529,26.4688,7.8441,84.7833,0.0523,224.8098,24.1569,7.6350,79.0925,0.0549,207.7578,15,8.6293,15,8.6293,12,8.7558,12,8.7558,0,0,0,0,37.6370,15.1382,385.8497,0.0156,299.0829,33.5147,15.2952,383.5612,0.0160,269.0830,18.0848,10.3945,172.0304,0.0262,152.1921,15.9208,10.3278,165.3363,0.0274,136.4746
lore,lɔr,CVC,3,12,8.5625,10,8.4890,19.6089,8.5995,98.5992,0.0398,167.0267,17.1534,8.9374,107.1948,0.0397,147.4069,41,8.9566,31,9.4535,35,8.7689,27,8.7689,17,14,21,18,48.8069,8.8819,112.6700,0.0188,394.2755,41.0354,9.4620,129.5734,0.0178,336.9985,21.3205,6.1100,48.4942,0.0285,179.5346,17.6047,6.3293,52.7330,0.0271,151.4030
loss,lɔs,CVC,3,27,8.1489,25,8.3004,31.4584,7.2519,69.5952,0.0557,263.1996,28.0823,7.1819,69.5836,0.0564,239.0350,20,8.7405,20,8.7405,17,8.5100,17,8.5100,3,3,5,5,44.4540,8.8107,112.8978,0.0150,356.7477,40.2227,8.7302,108.4908,0.0155,326.3113,21.1032,5.5794,40.2274,0.0229,177.2087,19.1386,5.3394,36.1257,0.0242,162.8549
laws,lɔz,CVC,3,27,8.1307,25,8.2808,34.4236,7.2863,67.6231,0.0626,287.4680,30.5728,7.2080,67.4971,0.0630,260.0533,28,7.9096,24,8.1375,20,7.8330,18,7.8330,2,2,3,3,46.9497,9.2710,123.1210,0.0162,371.4283,40.7705,9.5533,131.2088,0.0159,326.6667,22.9014,5.6629,42.5358,0.0250,187.6343,19.8745,5.7322,42.6295,0.0257,165.7683
lewd,lud,CVC,3,16,8.8169,14,8.9000,24.8948,9.0197,99.2058,0.0585,210.9097,21.9448,8.5816,90.0152,0.0580,190.1312,36,7.9147,32,8.2194,32,8.0209,29,8.0209,21,21,23,22,43.0788,9.7154,139.3505,0.0168,343.7829,37.5008,10.0585,149.2862,0.0166,303.1732,21.8000,6.3405,54.7947,0.0282,182.6440,19.1682,6.4132,55.1634,0.0290,163.6635
Luke,luk,CVC,3,7,8.5329,7,8.5329,14.3445,8.4980,105.9812,0.0280,121.6187,12.9397,8.4643,103.5882,0.0291,111.7280,25,8.3964,22,8.6900,21,8.5562,19,8.5562,10,10,10,10,42.1373,11.9931,202.5536,0.0189,336.0510,36.8814,11.8863,206.6978,0.0180,298.2296,21.4402,7.9199,81.2718,0.0323,179.1576,18.7067,7.8079,82.3549,0.0310,160.1253
loom,lum,CVC,3,4,8.4625,4,8.4625,8.2619,15.2314,319.9561,0.0321,67.8999,8.0510,14.2194,278.5502,0.0344,66.3686,29,7.8117,27,7.8930,21,8.2276,20,8.2276,18,18,22,21,34.3024,13.1471,240.2616,0.0163,271.5790,30.3647,13.2572,239.5008,0.0167,242.4530,16.3741,9.0595,115.9378,0.0249,138.4725,14.5772,8.7551,106.0467,0.0264,125.3544
loon,lun,CVC,3,7,8.9043,7,8.9043,20.1616,7.9042,84.5458,0.0412,172.2966,17.9655,7.9102,84.5033,0.0424,156.6498,31,8.4768,27,8.6426,28,8.5529,25,8.5529,23,21,26,23,38.1793,11.6466,213.9292,0.0158,306.8464,33.4826,12.0117,223.7065,0.0160,271.7730,18.8639,7.9701,90.2213,0.0272,160.2238,16.5771,7.9234,87.0679,0.0284,143.1918
loop,lup,CVC,3,4,7.6550,4,7.6550,8.7886,15.1900,318.3097,0.0322,69.0273,8.5375,14.1838,277.2080,0.0345,67.2039,25,7.1660,23,7.2052,20,7.2040,19,7.2040,2,2,2,2,42.4713,11.8599,200.8724,0.0189,335.3804,37.5254,11.6758,198.0605,0.0185,299.5660,21.4081,7.9813,84.4655,0.0318,176.2438,19.0732,7.6708,79.6309,0.0316,159.6710
loose,lus,CVC,3,16,8.6481,14,8.7071,22.0801,9.4141,106.2138,0.0540,184.7903,19.6171,9.1511,101.1776,0.0544,167.1349,28,7.3650,25,7.4712,22,7.4827,20,7.4827,3,3,3,3,41.9009,10.7390,170.2414,0.0166,334.5778,36.7900,10.5127,166.8937,0.0160,297.1412,20.7763,7.3716,74.3069,0.0270,172.4526,18.4205,7.0637,69.4378,0.0269,155.4727
loot,lut,CVC,3,15,9.0507,14,8.9393,23.8958,9.1879,104.8404,0.0557,205.8302,21.7802,8.8502,95.6052,0.0590,189.7670,27,8.7674,24,8.8483,23,8.9839,21,8.9839,18,16,21,18,43.2137,10.9332,178.9179,0.0178,350.9019,37.9424,10.9644,183.2814,0.0174,311.0900,22.1930,7.3923,75.3992,0.0299,190.0689,19.6694,7.2263,73.0714,0.0301,170.7776
lute,lut,CVC,3,15,9.0507,14,8.9393,23.8958,9.1879,104.8404,0.0557,205.8302,21.7802,8.8502,95.6052,0.0590,189.7670,27,8.7674,24,8.8483,23,8.9839,21,8.9839,21,19,24,21,43.2137,10.9332,178.9179,0.0178,350.9019,37.9424,10.9644,183.2814,0.0174,311.0900,22.1930,7.3923,75.3992,0.0299,190.0689,19.6694,7.2263,73.0714,0.0301,170.7776
lose,luz,CVC,3,16,8.6238,14,8.6793,24.4480,9.2193,101.8057,0.0596,205.3480,21.5759,8.8771,94.7518,0.0595,184.7863,36,7.9100,31,8.1419,30,7.9047,26,7.9047,5,5,5,5,44.5010,10.3495,152.2973,0.0180,353.0981,38.1665,10.7724,164.1296,0.0175,306.6584,22.4750,6.6253,59.5296,0.0287,183.7291,19.5130,6.6882,59.9957,0.0294,162.2315
luge,luʒ,CVC,3,1,4.5000,1,4.5000,7.8080,8.6101,99.3464,0.0170,62.6621,7.0928,8.4173,95.2821,0.0175,57.5188,12,8.0842,10,8.3580,10,8.0900,9,8.0900,10,9,12,10,31.2556,13.4743,289.3695,0.0124,249.9045,27.2700,13.9907,309.2671,0.0123,220.6434,15.9322,9.2025,124.1065,0.0209,132.5941,14.1043,9.0517,117.3488,0.0219,119.3345
look,lʊk,CVC,3,10,8.1990,10,8.1990,20.3920,9.9082,143.5366,0.0363,174.2733,18.5421,9.5802,131.5811,0.0384,160.4274,20,9.3945,19,9.6100,18,9.2028,17,9.2028,1,1,1,1,46.6554,11.2205,196.7276,0.0175,376.5900,42.2660,11.2153,193.1378,0.0180,344.5551,23.5144,7.6329,82.4280,0.0296,200.5892,21.3286,7.4722,77.6513,0.0310,184.7883
lure,lʊr,CVC,3,4,11.0000,3,9.8833,13.7372,12.4993,214.0839,0.0257,122.5648,11.8870,11.5214,197.3825,0.0235,105.0451,14,9.2514,12,9.2317,13,9.4892,11,9.4892,7,6,7,6,42.1516,11.2499,229.7132,0.0139,342.9008,35.8000,12.3784,271.3113,0.0136,293.8451,20.3877,7.9780,105.7147,0.0231,175.8035,17.2531,8.4984,116.8125,0.0232,150.4400
lush,lʌ∫,CVC,3,8,6.5513,8,6.5513,14.6189,9.5656,121.6747,0.0317,117.3801,13.4505,9.1855,110.9039,0.0335,108.4968,16,7.6694,16,7.6694,12,7.9025,12,7.9025,6,6,8,8,32.9292,13.0526,263.9353,0.0124,261.0433,30.2053,12.7063,246.4726,0.0129,241.0176,16.0067,8.3764,116.1676,0.0178,134.8228,14.6646,8.0185,105.0323,0.0189,124.7680
lug,lʌg,CVC,3,37,8.3132,34,8.4262,30.8374,7.6640,87.9348,0.0526,269.4551,27.6509,7.6886,87.9426,0.0541,245.5590,22,8.3305,21,8.3481,19,8.4547,18,8.4547,17,16,19,18,50.1677,9.9175,157.0372,0.0164,398.6630,45.2117,9.9505,155.5130,0.0168,362.5846,24.1470,7.0088,72.8413,0.0262,204.2236,21.7524,6.8476,68.4258,0.0275,186.6025
luck,lʌk,CVC,3,37,8.1949,34,8.2974,31.6606,7.6136,86.6593,0.0539,272.7055,28.4094,7.6289,86.1324,0.0557,248.4109,28,8.1436,27,8.2489,23,8.6913,22,8.6913,3,3,3,3,52.7643,8.3088,106.4825,0.0179,420.6576,48.0960,8.2531,103.2041,0.0185,386.8626,25.4853,5.5589,46.3074,0.0278,217.9984,23.2108,5.4154,43.2126,0.0292,201.5619
lull,lʌl,CVC,3,37,8.3257,34,8.4397,33.9459,6.0771,53.6311,0.0475,289.8035,29.7839,6.0713,54.4655,0.0475,258.5017,16,7.2213,15,7.3313,14,7.5929,13,7.5929,9,9,9,9,48.7477,8.6264,131.0088,0.0140,388.6675,42.1027,9.2314,146.5036,0.0139,339.9715,22.7637,5.3301,45.2833,0.0211,191.8075,19.5012,5.5244,47.8048,0.0214,167.5069
lung,lʌŋ,CVC,3,37,8.2354,34,8.3415,29.1490,7.6520,84.3997,0.0512,252.7405,26.1865,7.6361,83.1438,0.0529,230.5356,16,8.3025,16,8.3025,12,8.8900,12,8.8900,5,5,5,5,45.5568,9.0470,123.1057,0.0160,365.7999,40.6380,9.2158,127.4816,0.0161,328.8383,21.2621,5.6753,45.6761,0.0248,183.8976,18.6921,5.7036,46.3495,0.0252,164.1852
