orth,pron,pattern,nphon,v_lec,v_lec_freq,v_lec_nh,v_lec_nh_freq,v_psum,v_pskew,v_pkurt,v_psd,v_pfwsum,v_psum_nh,v_pskew_nh,v_pkurt_nh,v_psd_nh,v_pfwsum_nh,a_denb,a_denb_freq,a_denb_nh,a_denb_nh_freq,a_dena,a_dena_freq,a_dena_nh,a_dena_nh_freq,a_dena_hfn,a_dena_hfn_nh,a_denb_hfn,a_denb_hfn_nh,a_psum,a_pskew,a_pkurt,a_psd,a_pfwsum,a_psum_nh,a_pskew_nh,a_pkurt_nh,a_psd_nh,a_pfwsum_nh,a_wt_psum,a_wt_pskew,a_wt_pkurt,a_wt_psd,a_wt_pfwsum,a_wt_psum_nh,a_wt_pskew_nh,a_wt_pkurt_nh,a_wt_psd_nh,a_wt_pfwsum_nh
chafe,t∫ef,CVC,3,8,7.7138,8,7.7138,7.1255,15.4191,278.7620,0.0317,57.7484,6.8004,14.4442,243.6983,0.0339,55.3374,5,9.0000,5,9.0000,5,9.0000,5,9.0000,5,5,5,5,35.6473,10.9951,228.3126,0.0129,292.2551,31.4098,11.3451,237.6242,0.0130,260.9771,20.7633,7.4289,93.5047,0.0223,175.9891,18.4754,7.3525,89.7861,0.0233,159.0287
chain,t∫en,CVC,3,15,8.7407,14,8.7771,22.1928,8.1654,87.0417,0.0480,186.6416,19.8566,7.9343,81.5356,0.0503,168.8295,31,7.7077,20,8.2490,28,7.7118,17,7.7118,3,3,4,4,31.3685,10.1724,152.3194,0.0130,254.1696,26.5462,10.9907,182.3797,0.0124,219.2986,17.6768,5.4334,36.9464,0.0219,147.6287,14.5111,5.8067,43.6644,0.0206,124.9103
chase,t∫es,CVC,3,12,7.3667,12,7.3667,19.2124,9.6260,114.8635,0.0439,160.0576,17.3256,9.2258,103.8019,0.0466,145.7110,17,8.4871,15,8.5800,13,9.2469,12,9.2469,8,7,8,7,31.0031,14.0190,305.0901,0.0129,252.7098,27.1925,14.2461,320.7133,0.0127,224.6791,17.8252,9.0285,124.5816,0.0213,150.5008,15.8075,8.9499,120.8916,0.0222,135.2356
check,t∫ɛk,CVC,3,14,8.6350,14,8.6350,20.4382,8.1947,82.9855,0.0453,169.5673,18.7581,7.8881,75.9942,0.0478,157.4762,18,8.8250,18,8.8250,16,8.6650,16,8.6650,0,0,0,0,33.8848,11.3443,182.7705,0.0142,276.1781,30.8173,11.1403,173.0817,0.0147,253.4940,19.8345,6.5409,57.9484,0.0244,168.6355,18.2291,6.2681,52.3655,0.0259,156.7825
Czech,t∫ɛk,CVC,3,14,8.6350,14,8.6350,20.4382,8.1947,82.9855,0.0453,169.5673,18.7581,7.8881,75.9942,0.0478,157.4762,18,8.8250,18,8.8250,16,8.6650,16,8.6650,8,8,10,10,33.8848,11.3443,182.7705,0.0142,276.1781,30.8173,11.1403,173.0817,0.0147,253.4940,19.8345,6.5409,57.9484,0.0244,168.6355,18.2291,6.2681,52.3655,0.0259,156.7825
chair,t∫ɛr,CVC,3,8,7.0300,8,7.0300,14.1037,12.6817,236.3352,0.0350,116.1639,12.7424,12.4692,226.1934,0.0366,105.7919,33,9.2512,20,9.6985,28,9.4439,18,9.4439,14,11,15,12,35.5490,11.5517,206.4537,0.0150,293.9089,29.3455,13.5170,285.2537,0.0139,245.3280,18.9357,7.3457,78.7556,0.0252,165.5350,15.4983,8.5432,106.9314,0.0238,137.2303
chess,t∫ɛs,CVC,3,12,7.3483,12,7.3483,20.9356,8.6991,92.8903,0.0449,175.9418,18.9842,8.3321,83.9163,0.0476,161.0970,13,9.8023,12,9.9333,11,9.7964,10,9.7964,7,7,9,9,32.7449,12.6217,247.1612,0.0119,269.7501,29.2931,11.6876,215.6617,0.0117,243.6817,18.7045,7.9354,89.4933,0.0205,161.2249,16.8417,7.1231,74.3289,0.0203,146.7819
church,t∫ɝt∫,CVC,3,1,3.8500,1,3.8500,3.6525,22.5524,658.4075,0.0139,28.0149,3.4020,21.8772,609.6366,0.0147,26.2092,6,7.0600,6,7.0600,6,7.0600,6,7.0600,1,1,1,1,18.7735,13.8730,315.9558,0.0076,150.1265,16.8977,13.9873,313.8416,0.0078,136.3693,11.7957,8.4040,105.4121,0.0140,96.9583,10.6857,8.2964,100.3689,0.0146,88.7978
churn,t∫ɝn,CVC,3,3,7.3133,3,7.3133,10.4082,10.5033,147.9867,0.0238,86.0361,9.4826,10.3440,142.7143,0.0247,79.0251,14,7.8800,12,8.1767,10,8.5870,9,8.5870,9,8,10,9,29.2527,12.0810,229.3962,0.0117,236.4761,25.5385,12.7288,253.1263,0.0116,208.8259,15.9356,6.4597,60.7540,0.0179,135.4003,13.8154,6.5932,63.7167,0.0180,119.3891
chirp,t∫ɝp,CVC,3,1,6.4700,1,6.4700,4.2986,25.8544,819.3111,0.0198,34.8007,4.0980,24.3404,721.7131,0.0211,33.3335,9,7.6956,8,7.8375,8,8.1738,7,8.1738,8,7,8,7,29.8364,9.8190,142.8188,0.0118,239.8941,26.8411,9.9381,146.3495,0.0120,217.9347,17.9464,5.5072,40.8050,0.0204,149.3468,16.2520,5.4884,40.7889,0.0209,136.9854
